LeadId,LeadCode,FullName,Email,Phone,Company,LeadSourceId,LeadStageId,LeadStatusId,LeadScoringId,CountryId,CityRegionId,InterestedRegion,AssignedAgentId,Notes,IsActive,CreatedBy,CreatedOn,ModifiedBy,ModifiedOn
113,LEAD00113,Jessica Robinson,taylordavid@example.net,(656)252-3413x8999,"Liu, Harris and Lawson",2,4,10,3,5,5,Dubai,13,Notes,1,SYSTEM,2024-01-13 07:42:25.100301,,
114,LEAD00114,James Lucas,troyrodriguez@example.com,+1-491-980-5526x9658,Smith Inc,1,1,10,4,5,4,New York,12,Notes,1,SYSTEM,2024-07-03 07:42:25.100301,,
115,LEAD00115,Daniel Livingston,ohunter@example.net,566.461.8892x41418,"Murphy, Willis and Hines",6,2,10,3,3,2,Dubai,10,Notes,1,SYSTEM,2024-05-07 07:42:25.100301,,
116,LEAD00116,Maria Collins,pblair@example.org,416.317.9904,Zimmerman Ltd,1,3,3,1,5,6,London,6,Notes,1,SYSTEM,2024-12-20 07:42:25.100301,,
117,LEAD00117,Jon Reed,gary24@example.net,305-964-8149,Dixon-Brown,2,3,9,3,3,5,London,10,Notes,1,SYSTEM,2024-04-18 07:42:25.100301,,
118,LEAD00118,Carol Moore,shannonemily@example.org,880.400.3075,Velazquez Inc,1,4,2,2,4,7,New York,12,Notes,1,SYSTEM,2024-09-06 07:42:25.100301,,
119,LEAD00119,Suzanne Yang,pwalker@example.com,001-854-319-5180x2380,Cline-Ayala,4,1,5,1,8,6,Mumbai,19,Notes,1,SYSTEM,2023-12-27 07:42:25.100301,,
120,LEAD00120,Brandon Bryant,james94@example.net,+1-237-559-7383x206,"Reed, Franco and Wiley",6,3,2,2,8,1,New York,18,Notes,1,SYSTEM,2024-10-20 07:42:25.100301,,
121,LEAD00121,April Sandoval,dalton83@example.com,302.441.0386x5719,"Wilkins, Jones and Bradley",5,2,2,4,5,7,Dubai,5,Notes,1,SYSTEM,2024-08-26 07:42:25.100301,,
122,LEAD00122,Victor Young,melissa65@example.com,943.713.2912x127,Martinez-Howard,1,3,8,1,2,4,New York,5,Notes,1,SYSTEM,2023-11-11 07:42:25.100301,,
123,LEAD00123,Jodi Ford,davislindsey@example.com,001-690-635-2135x680,Johnson Group,4,3,9,4,3,7,Dubai,16,Notes,1,SYSTEM,2024-10-27 07:42:25.100301,,
124,LEAD00124,Kristi Pierce,murraylinda@example.org,600-332-3651,Osborn and Sons,4,3,1,3,4,8,London,8,Notes,1,SYSTEM,2025-06-17 07:42:25.100301,,
125,LEAD00125,Jill Anderson,david70@example.org,001-566-470-6625,Ramirez-Stephenson,1,3,9,3,1,7,Mumbai,7,Notes,1,SYSTEM,2024-10-01 07:42:25.100301,,
126,LEAD00126,Manuel Sanchez,victor87@example.org,246-826-3838,"Howard, Stephens and Washington",4,1,4,1,1,6,Saudi Arabia,5,Notes,1,SYSTEM,2024-01-29 07:42:25.100301,,
127,LEAD00127,Kathryn Price,anthonyharper@example.org,001-240-578-5932x13348,"Bradford, Salinas and Kelly",2,1,9,2,4,4,Mumbai,5,Notes,1,SYSTEM,2025-04-26 07:42:25.100301,,
128,LEAD00128,Sarah Thompson,linda59@example.org,001-259-392-9378x427,Hall and Sons,1,3,3,2,5,3,Dubai,1,Notes,1,SYSTEM,2025-05-28 07:42:25.100301,,
129,LEAD00129,John Rivera,lindsaypeterson@example.org,700-629-2185x15691,Taylor-Moore,1,3,4,3,1,3,Mumbai,2,Notes,1,SYSTEM,2024-02-07 07:42:25.100301,,
130,LEAD00130,Rebecca Yu,grant89@example.com,892.264.4220,Guzman PLC,6,4,9,1,2,8,London,12,Notes,1,SYSTEM,2024-02-02 07:42:25.100301,,
131,LEAD00131,Keith Zuniga,markmiller@example.com,221-857-0433x15410,Oconnor-Costa,5,1,8,2,1,9,Mumbai,15,Notes,1,SYSTEM,2025-03-04 07:42:25.100301,,
132,LEAD00132,Katherine Gray,egarcia@example.net,+1-432-871-0405x4115,Dennis PLC,1,1,8,4,7,2,London,15,Notes,1,SYSTEM,2025-07-15 07:42:25.100301,,
133,LEAD00133,Vanessa Morgan,bbush@example.net,(896)620-1533,"Campbell, Young and Williams",1,3,10,2,2,3,Mumbai,20,Notes,1,SYSTEM,2023-12-10 07:42:25.100301,,
134,LEAD00134,Sara Hernandez,adam14@example.net,+1-897-931-0324x1714,Jacobson-Baker,5,3,7,3,8,9,New York,14,Notes,1,SYSTEM,2025-07-05 07:42:25.100301,,
135,LEAD00135,Jasmine Watson,cwood@example.org,877-543-4902x115,"Brown, Hughes and Mills",6,1,9,2,7,8,Saudi Arabia,14,Notes,1,SYSTEM,2024-01-05 07:42:25.100301,,
136,LEAD00136,Melissa Mayer,thomasmiller@example.net,4894899217,Stokes and Sons,4,4,7,1,6,7,Mumbai,9,Notes,1,SYSTEM,2024-09-07 07:42:25.100301,,
137,LEAD00137,Blake Vega,wendyburton@example.net,251-816-8685x487,Perry and Sons,2,4,2,1,2,2,London,4,Notes,1,SYSTEM,2024-10-13 07:42:25.100301,,
138,LEAD00138,Lauren Hanna,buckleyanna@example.org,885-464-6799x7024,"Franklin, Steele and Williams",2,1,10,3,2,7,Mumbai,14,Notes,1,SYSTEM,2024-10-11 07:42:25.100301,,
139,LEAD00139,Erin Young,xmccall@example.org,344-547-1324x75469,Lewis-Holloway,3,3,6,1,4,3,London,8,Notes,1,SYSTEM,2023-11-17 07:42:25.100301,,
140,LEAD00140,Olivia Camacho,robertsonerik@example.com,001-286-928-9023x303,Hull Ltd,3,3,2,3,4,7,New York,20,Notes,1,SYSTEM,2024-01-14 07:42:25.100301,,
141,LEAD00141,Jacob Marshall,hreid@example.net,7357797279,Monroe LLC,6,1,10,3,1,3,Mumbai,10,Notes,1,SYSTEM,2025-06-15 07:42:25.100301,,
